id_processo;dt_recebimento;dt_resolvido;julgadom1
323961063;2020-03-12;2021-03-19;0
323961064;2021-06-07;2023-07-07;0
323961065;2020-01-10;2023-03-09;0
323961068;2021-06-30;2022-09-18;0
323961069;2017-12-20;2020-12-02;0
323961073;2019-10-01;2020-07-14;0
323961074;2020-03-13;2021-02-16;0
323961075;2014-09-04;2014-11-19;0
323961076;2021-01-28;2021-05-24;0
323961078;2020-08-06;2023-09-25;0
